sample	h.001B	h.002B	h.004B	h.006B	h.009B	h.010B	h.015B	h.020B	v.003A	v.006A	v.008A	v.009A	v.010A	v.012B	v.013B	v.014B	v.018B	v.017B	v.012A	v.013A	v.a4_1	v.a5_1	v.a5_12	v.a6_1	v.a6_4	v.a6_6	v.a6_10	v.a7_1	v.a8_3	v.a8_6	v.a13_19	v.a13_22	v.a15_6	v.a17_4	h.b4_1	h.b5_12	h.b6_4	h.b6_10	h.b8_3	h.b8_6	h.b13_19	h.b13_22
V1237680	0	0	0	0	0	0	0	0	2506	6	168	9	326	342	0	0	261	284	9	0	92	83	8	6	24	0	465	282	0	15	0	8	602	176	0	2	0	0	0	0	0	0
V1237684	0	5	0	0	0	0	0	0	879	7	86	14	36	93	0	88	155	92	4	9	100	207	12	17	15	2	119	2	3	17	10	3	173	34	0	4	0	0	0	0	0	0
V1237698	1	1	6	847	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	42	915	0	0	0	0
V1237699	0	0	14	104	0	0	0	4	0	24	2	56	256	1	0	0	0	0	251	0	0	0	0	213	704	238	0	0	0	0	0	1028	0	288	0	0	0	21	0	0	0	0
V1237709	0	0	0	3	0	0	3	0	648	0	525	4	4	0	0	0	0	5	40	100	20	266	24	10	0	0	160	0	0	14	44	0	413	2	0	4	0	0	0	0	0	0
V1237713	3	4	3	0	0	0	0	0	457	0	747	0	65	47	0	5	43	37	7	5	31	214	6	4	0	0	86	8	0	15	54	62	332	10	0	2	0	0	0	0	0	0
V1237723	0	0	0	0	0	0	0	0	582	0	1495	11	72	42	0	0	108	135	29	143	17	206	2	4	8	0	99	42	0	3	82	11	428	21	0	3	0	0	0	0	2	0
V1237752	0	4	0	0	0	0	0	0	1326	0	186	31	150	205	0	28	926	412	45	87	39	468	5	9	47	37	169	100	1	20	7	314	668	223	0	3	0	0	0	0	0	0
V1237759	0	2	2	0	0	0	0	0	212	1	24	1	316	175	0	0	247	143	30	98	30	20	0	9	80	0	41	205	0	0	0	49	509	121	0	0	0	0	0	0	0	0
V1237777	0	0	0	0	0	0	0	0	1077	0	66	0	35	44	0	0	38	42	27	47	19	156	3	5	4	0	100	15	0	2	0	4	293	14	0	2	0	0	0	0	0	0
V1237779	1	1	0	2	0	0	2	0	0	1113	4	86	1394	0	0	1	1	1	764	1	0	0	0	324	1229	745	0	0	0	0	0	2504	0	613	0	0	0	0	0	0	0	0
V1237789	1	1	21	159	1	1	1	6	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	16	19	354	0	0	0	0
V1237799	0	0	0	0	0	0	0	0	623	0	57	14	8	0	0	0	0	35	0	39	26	84	5	4	0	0	41	0	0	5	0	0	152	0	0	2	0	0	0	0	0	0
V1237820	0	3	0	0	0	0	0	0	9	0	0	9	0	407	0	9	0	0	15	0	68	2	0	2	701	0	1	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0
V1237825	9	0	0	0	4	0	0	0	728	0	623	54	171	193	0	0	267	222	9	16	37	345	13	2	17	0	28	107	2	2	23	10	355	42	0	6	0	0	0	0	0	0
V1237834	2	0	2	3	0	0	3	2	937	170	465	502	1474	0	517	252	235	315	874	82	333	17	10	355	1055	578	213	32	45	0	118	1312	37	1953	0	0	0	0	0	0	0	0
V1237835	2	107	2443	68	18	1	3	1	2184	2	3448	1104	5	1161	1	2403	42	198	30	2047	0	487	243	26	0	531	349	0	262	58	0	22	1625	0	17	131	74	615	20	0	247	331
V1237840	0	20	25	15	0	0	0	0	12	308	154	633	4188	0	0	154	6	9	1909	25	2	2	1	237	673	274	0	0	8	7	2	1122	4	259	5	0	15	7	2	0	41	1
V1237856	0	0	0	0	0	0	0	0	752	0	140	0	45	21	0	0	37	59	8	18	18	143	4	5	3	0	58	15	0	5	5	3	163	6	0	3	0	0	0	0	0	0
V1237861	0	6	0	0	0	0	0	0	394	0	513	3	52	187	0	24	51	53	16	12	27	127	5	23	3	0	140	55	0	10	0	123	292	17	0	2	0	0	0	0	0	0
V1237869	0	0	0	0	0	0	0	0	0	6	20	20	205	0	0	761	258	479	0	0	0	0	13	4	5	0	0	156	5	132	0	275	7	14	0	3	0	0	0	0	0	0
V1237871	6	6	3	0	3	0	5	3	374	5	114	0	27	104	0	13	148	233	0	0	39	211	10	4	23	0	91	67	0	11	0	52	239	116	0	5	0	0	0	0	0	0
V1237889	0	0	0	0	0	0	5	0	0	10	0	0	0	7	0	0	0	0	19	0	1	1	0	2	0	0	1	0	1	16	1207	4	4	0	0	0	0	0	0	0	0	0
V1237898	3	2	2	2	2	2	3	2	338	172	653	323	118	3	944	448	385	504	242	220	1644	114	38	61	566	491	198	432	172	0	340	246	112	590	0	0	0	0	0	0	0	0
V1237900	0	443	373	533	4	0	0	0	310	5	70	42	0	86	4	256	20	75	0	62	8	20	7	0	3	11	13	2	382	16	0	0	25	2	41	201	88	121	21	0	0	37
V1237936	0	0	0	0	0	0	0	0	53	22	42	62	9	0	105	66	70	57	18	10	173	0	0	31	44	39	108	20	7	0	0	30	10	15	0	0	0	0	0	0	0	0
V1237947	0	9	0	0	0	0	3	0	621	37	725	303	425	476	0	403	814	1120	147	314	72	600	4	233	159	518	218	436	11	10	93	325	895	370	0	3	0	0	0	0	0	0
